"DATABASE_NAME","CUBE_NAME","MEASURE_GROUP_NAME","DIMENSION_NAME","ATTRIBUTE_NAME","TABLE_ID","COLUMN_ID","COLUMN_TYPE","COLUMN_ENCODING","DATATYPE","ISKEY","ISUNIQUE","ISNULLABLE","ISROWNUMBER","DICTIONARY_SIZE","DICTIONARY_ISPAGEABLE","DICTIONARY_ISRESIDENT","DICTIONARY_TEMPERATURE","DICTIONARY_LAST_ACCESSED","STRING_INDEX_SIZE","FULLTEXT_INDEX_SIZE"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Client Age","Transactions (10)","Client Age (33)","BASIC_DATA","1","DBTYPE_I8","False","False","True","False","1536",,,,,"0","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Client Gender","Transactions (10)","Client Gender (34)","BASIC_DATA","1","DBTYPE_WSTR","False","False","True","False","1065664",,,,,"0","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Client Yearly Income","Transactions (10)","Client Yearly Income (35)","BASIC_DATA","1","DBTYPE_R8","False","False","True","False","5716",,,,,"0","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Client Total Debt","Transactions (10)","Client Total Debt (36)","BASIC_DATA","1","DBTYPE_R8","False","False","True","False","5668",,,,,"0","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Client Credit Score","Transactions (10)","Client Credit Score (37)","BASIC_DATA","1","DBTYPE_I8","False","False","True","False","2764",,,,,"0","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Client Cards Held","Transactions (10)","Client Cards Held (38)","BASIC_DATA","1","DBTYPE_I8","False","False","True","False","1328",,,,,"0","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Year","Transactions (10)","Year (39)","BASIC_DATA","1","DBTYPE_I8","False","False","True","False","1336",,,,,"0","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Month Year","Transactions (10)","Month Year (40)","BASIC_DATA","1","DBTYPE_WSTR","False","False","True","False","1066592",,,,,"0","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Is Approved","Transactions (10)","Is Approved (41)","BASIC_DATA","1","DBTYPE_WSTR","False","False","True","False","1065664",,,,,"0","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Spend Amount","Transactions (10)","Spend Amount (42)","BASIC_DATA","1","DBTYPE_R8","False","False","True","False","1402244",,,,,"0","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Is Fraud","Transactions (10)","Is Fraud (43)","BASIC_DATA","1","DBTYPE_WSTR","False","False","True","False","1065664",,,,,"0","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Transaction ID","H$Transactions (10)$Transaction ID (13)","POS_TO_ID","HIERARCHY_POSITION_TO_DATAID","0","N/A","False","False","True","False","0",,,,,"0","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Transaction ID","H$Transactions (10)$Transaction ID (13)","ID_TO_POS","HIERARCHY_DATAID_TO_POSITION","0","N/A","False","False","True","False","0",,,,,"0","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Merchant State","H$Transactions (10)$Merchant State (21)","POS_TO_ID","HIERARCHY_POSITION_TO_DATAID","0","N/A","False","False","True","False","0",,,,,"0","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Merchant State","H$Transactions (10)$Merchant State (21)","ID_TO_POS","HIERARCHY_DATAID_TO_POSITION","0","N/A","False","False","True","False","0",,,,,"0","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Card Brand","H$Transactions (10)$Card Brand (27)","POS_TO_ID","HIERARCHY_POSITION_TO_DATAID","0","N/A","False","False","True","False","0",,,,,"0","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Card Brand","H$Transactions (10)$Card Brand (27)","ID_TO_POS","HIERARCHY_DATAID_TO_POSITION","0","N/A","False","False","True","False","0",,,,,"0","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Client Cards Held","H$Transactions (10)$Client Cards Held (38)","POS_TO_ID","HIERARCHY_POSITION_TO_DATAID","0","N/A","False","False","True","False","0",,,,,"0","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Client Cards Held","H$Transactions (10)$Client Cards Held (38)","ID_TO_POS","HIERARCHY_DATAID_TO_POSITION","0","N/A","False","False","True","False","0",,,,,"0","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Client Gender","H$Transactions (10)$Client Gender (34)","POS_TO_ID","HIERARCHY_POSITION_TO_DATAID","0","N/A","False","False","True","False","0",,,,,"0","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Client Gender","H$Transactions (10)$Client Gender (34)","ID_TO_POS","HIERARCHY_DATAID_TO_POSITION","0","N/A","False","False","True","False","0",,,,,"0","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Errors","H$Transactions (10)$Errors (24)","POS_TO_ID","HIERARCHY_POSITION_TO_DATAID","0","N/A","False","False","True","False","0",,,,,"0","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Errors","H$Transactions (10)$Errors (24)","ID_TO_POS","HIERARCHY_DATAID_TO_POSITION","0","N/A","False","False","True","False","0",,,,,"0","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Client Yearly Income","H$Transactions (10)$Client Yearly Income (35)","POS_TO_ID","HIERARCHY_POSITION_TO_DATAID","0","N/A","False","False","True","False","0",,,,,"0","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Client Yearly Income","H$Transactions (10)$Client Yearly Income (35)","ID_TO_POS","HIERARCHY_DATAID_TO_POSITION","0","N/A","False","False","True","False","0",,,,,"0","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Card ID","H$Transactions (10)$Card ID (16)","POS_TO_ID","HIERARCHY_POSITION_TO_DATAID","0","N/A","False","False","True","False","0",,,,,"0","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Card ID","H$Transactions (10)$Card ID (16)","ID_TO_POS","HIERARCHY_DATAID_TO_POSITION","0","N/A","False","False","True","False","0",,,,,"0","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Card Has Chip","H$Transactions (10)$Card Has Chip (29)","POS_TO_ID","HIERARCHY_POSITION_TO_DATAID","0","N/A","False","False","True","False","0",,,,,"0","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Card Has Chip","H$Transactions (10)$Card Has Chip (29)","ID_TO_POS","HIERARCHY_DATAID_TO_POSITION","0","N/A","False","False","True","False","0",,,,,"0","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Merchant City","H$Transactions (10)$Merchant City (20)","POS_TO_ID","HIERARCHY_POSITION_TO_DATAID","0","N/A","False","False","True","False","0",,,,,"0","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Merchant City","H$Transactions (10)$Merchant City (20)","ID_TO_POS","HIERARCHY_DATAID_TO_POSITION","0","N/A","False","False","True","False","0",,,,,"0","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Card Credit Limit","H$Transactions (10)$Card Credit Limit (30)","POS_TO_ID","HIERARCHY_POSITION_TO_DATAID","0","N/A","False","False","True","False","0",,,,,"0","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Card Credit Limit","H$Transactions (10)$Card Credit Limit (30)","ID_TO_POS","HIERARCHY_DATAID_TO_POSITION","0","N/A","False","False","True","False","0",,,,,"0","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Timestamp","H$Transactions (10)$Timestamp (14)","POS_TO_ID","HIERARCHY_POSITION_TO_DATAID","0","N/A","False","False","True","False","0",,,,,"0","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Timestamp","H$Transactions (10)$Timestamp (14)","ID_TO_POS","HIERARCHY_DATAID_TO_POSITION","0","N/A","False","False","True","False","0",,,,,"0","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Merchant Zip","H$Transactions (10)$Merchant Zip (22)","POS_TO_ID","HIERARCHY_POSITION_TO_DATAID","0","N/A","False","False","True","False","0",,,,,"0","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Merchant Zip","H$Transactions (10)$Merchant Zip (22)","ID_TO_POS","HIERARCHY_DATAID_TO_POSITION","0","N/A","False","False","True","False","0",,,,,"0","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Client Credit Score","H$Transactions (10)$Client Credit Score (37)","POS_TO_ID","HIERARCHY_POSITION_TO_DATAID","0","N/A","False","False","True","False","0",,,,,"0","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Client Credit Score","H$Transactions (10)$Client Credit Score (37)","ID_TO_POS","HIERARCHY_DATAID_TO_POSITION","0","N/A","False","False","True","False","0",,,,,"0","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","MCC","H$Transactions (10)$MCC (23)","POS_TO_ID","HIERARCHY_POSITION_TO_DATAID","0","N/A","False","False","True","False","0",,,,,"0","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","MCC","H$Transactions (10)$MCC (23)","ID_TO_POS","HIERARCHY_DATAID_TO_POSITION","0","N/A","False","False","True","False","0",,,,,"0","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Client Total Debt","H$Transactions (10)$Client Total Debt (36)","POS_TO_ID","HIERARCHY_POSITION_TO_DATAID","0","N/A","False","False","True","False","0",,,,,"0","0"
"cc288bf7-edf4-4f93-bbd4-8ab382aa3a16","Model","Transactions","Transactions","Client Total Debt","H$Transactions (10)$Client Total Debt (36)","ID_TO_POS","HIERARCHY_DATAID_TO_POSITION","0","N/A","False","False","True","False","0",,,,,"0","0"
