"DATABASE_NAME","CUBE_NAME","MEASURE_GROUP_NAME","DIMENSION_NAME","ATTRIBUTE_NAME","TABLE_ID","COLUMN_ID","COLUMN_TYPE","COLUMN_ENCODING","DATATYPE","ISKEY","ISUNIQUE","ISNULLABLE","ISROWNUMBER","DICTIONARY_SIZE","DICTIONARY_ISPAGEABLE","DICTIONARY_ISRESIDENT","DICTIONARY_TEMPERATURE","DICTIONARY_LAST_ACCESSED","STRING_INDEX_SIZE","FULLTEXT_INDEX_SIZE"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Transactions","Transactions","Amount","Transactions (34)","Amount (124)","BASIC_DATA","2","DBTYPE_R8","False","False","True","False","144",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Metrics","Metrics","RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61","Metrics (37)","RowNumber 2662979B 1795 4F74 8F37 6A1BA8059B61 (38)","BASIC_DATA","2","DBTYPE_I8","True","True","False","True","144",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Metrics","Metrics","Column","Metrics (37)","Column (125)","BASIC_DATA","1","DBTYPE_WSTR","False","False","True","False","16904",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Transactions","Transactions",,"R$Transactions (34)$Category to Transactions (43)","INDEX","RELATIONSHIP","0","N/A","False","False","True","False","0",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Transactions","Transactions",,"R$Transactions (34)$Outcome to Transactions (45)","INDEX","RELATIONSHIP","0","N/A","False","False","True","False","0",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Transactions","Transactions",,"R$Transactions (34)$Geography to Transactions (46)","INDEX","RELATIONSHIP","0","N/A","False","False","True","False","0",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Transactions","Transactions",,"R$Transactions (34)$Channel to Transactions (44)","INDEX","RELATIONSHIP","0","N/A","False","False","True","False","0",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Transactions","Transactions",,"R$Transactions (34)$Client to Transactions (41)","INDEX","RELATIONSHIP","0","N/A","False","False","True","False","0",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Transactions","Transactions",,"R$Transactions (34)$Date to Transactions (40)","INDEX","RELATIONSHIP","0","N/A","False","False","True","False","0",,,,,"0","0"
"ab2b7759-59d9-4189-8c4b-9009e8a80a7d","Model","Transactions","Transactions",,"R$Transactions (34)$Fraud to Transactions (47)","INDEX","RELATIONSHIP","0","N/A","False","False","True","False","0",,,,,"0","0"
